renderedObject,renderTime,gpuName,gpuBackend,peakMemory,releaseYear,baseClock,boostClock,textureRate,pixelRate,architecture,memoryType,generation,busInterface,rtCores,tensorCores
bmw27,236.047,GeForce GTX 1050 Ti,CUDA,146,2016,1291.0,1392.0,66.82,44.54,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,76.9753,GeForce GTX 1660 SUPER,OPTIX,131.13,2019,1530.0,1785.0,157.1,85.68,Turing,GDDR6,GeForce 16,PCIe 3.0 x16,0,0
bmw27,170.055,Radeon RX 580 Series,OPENCL,2149.18,2017,1257.0,1340.0,193.0,42.88,GCN 4.0,GDDR5,Polaris(RX 500),PCIe 3.0 x16,0,0
bmw27,38.8095,AMD Radeon RX 6800 XT,OPENCL,2149.18,2020,1825.0,2250.0,648.0,288.0,RDNA 2.0,GDDR6,Navi II(RX 6000),PCIe 4.0 x16,72,0
bmw27,132.713,GeForce GTX 1650,OPTIX,131.13,2019,1485.0,1665.0,93.24,53.28,Turing,GDDR5,GeForce 16,PCIe 3.0 x16,0,0
classroom,370.141,Radeon RX 580 Series,OPENCL,2277.14,2017,1257.0,1340.0,193.0,42.88,GCN 4.0,GDDR5,Polaris(RX 500),PCIe 3.0 x16,0,0
bmw27,39.5707,GeForce RTX 2080 Ti,CUDA,146,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
bmw27,30.9639,GeForce RTX 2060 SUPER,OPTIX,131.13,2019,1470.0,1650.0,224.4,105.6,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,34,272
classroom,504.564,GeForce GTX 1650,OPTIX,345.3,2019,1485.0,1665.0,93.24,53.28,Turing,GDDR5,GeForce 16,PCIe 3.0 x16,0,0
bmw27,38.1598,GeForce RTX 2080 Ti,CUDA,146,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
bmw27,172.859,Radeon RX 580 Series,OPENCL,2149.18,2017,1257.0,1340.0,193.0,42.88,GCN 4.0,GDDR5,Polaris(RX 500),PCIe 3.0 x16,0,0
classroom,682.65,GeForce GTX 1060 6GB,OPTIX,345.3,2016,1506.0,1709.0,136.7,82.03,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,66.4127,GeForce RTX 2060 SUPER,CUDA,146,2019,1470.0,1650.0,224.4,105.6,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,34,272
bmw27,28.6668,GeForce RTX 2060 SUPER,OPTIX,131.13,2019,1470.0,1650.0,224.4,105.6,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,34,272
bmw27,22.7538,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,71.6963,AMD Radeon RX 5700,OPENCL,2149.18,2019,1465.0,1725.0,248.4,110.4,RDNA 1.0,GDDR6,Navi(RX 5000),PCIe 4.0 x16,0,0
classroom,553.231,GeForce GTX 1060 6GB,CUDA,352.55,2016,1506.0,1709.0,136.7,82.03,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
pavillon_barcelona,218.781,GeForce RTX 2080 Ti,CUDA,156.3,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
fishy_cat,30.392,GeForce RTX 2080 Ti,OPTIX,556.68,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
bmw27,291.628,AMD Radeon R9 380 Series,OPENCL,833.27,2015,970.0,970.0,108.6,31.04,GCN 3.0,GDDR5,Pirate Islands(R9 300),PCIe 3.0 x16,0,0
bmw27,8.94169,GeForce RTX 3090,OPTIX,131.13,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,22.2091,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,70.0827,GeForce RTX 2060,CUDA,146,2019,1365.0,1680.0,201.6,80.64,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,30,240
bmw27,18.5179,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
classroom,365.775,Radeon RX 580 Series,OPENCL,2277.14,2017,1257.0,1340.0,193.0,42.88,GCN 4.0,GDDR5,Polaris(RX 500),PCIe 3.0 x16,0,0
bmw27,19.2026,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,18.1893,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,52.7982,GeForce RTX 2070 SUPER,CUDA,146,2019,1605.0,1770.0,283.2,113.3,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,40,320
bmw27,90.4838,GeForce GTX 980 Ti,CUDA,146,2015,1000.0,1076.0,189.4,103.3,Maxwell 2.0,GDDR5,GeForce 900,PCIe 3.0 x16,0,0
bmw27,21.8846,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,195.37,Radeon RX 570 Series,OPENCL,1711.1,2017,1168.0,1244.0,159.2,39.81,GCN 4.0,GDDR5,Polaris(RX 500),PCIe 3.0 x16,0,0
bmw27,32.3955,GeForce RTX 3060 Ti,CUDA,146,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
bmw27,112.337,GeForce GTX 980 Ti,CUDA,146,2015,1000.0,1076.0,189.4,103.3,Maxwell 2.0,GDDR5,GeForce 900,PCIe 3.0 x16,0,0
bmw27,30.4882,GeForce RTX 3070,CUDA,146,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,67.0994,AMD Radeon RX 5700 XT,OPENCL,2149.18,2019,1605.0,1905.0,304.8,121.9,RDNA 1.0,GDDR6,Navi(RX 5000),PCIe 4.0 x16,0,0
bmw27,161.588,GeForce GTX 1650,CUDA,146,2019,1485.0,1665.0,93.24,53.28,Turing,GDDR5,GeForce 16,PCIe 3.0 x16,0,0
bmw27,36.8232,GeForce RTX 2080 Ti,CUDA,146,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
bmw27,84.1647,AMD Radeon RX 5600 XT,OPENCL,2149.18,2020,1130.0,1560.0,224.6,99.84,RDNA 1.0,GDDR6,Navi(RX 5000),PCIe 4.0 x16,0,0
classroom,84.2793,GeForce RTX 3070,CUDA,352.55,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,96.4052,GeForce GTX 1660 Ti,CUDA,146,2019,1500.0,1770.0,169.9,84.96,Turing,GDDR6,GeForce 16,PCIe 3.0 x16,0,0
bmw27,152.986,GeForce GTX 1650 SUPER,CUDA,146,2019,1530.0,1725.0,138.0,55.2,Turing,GDDR6,GeForce 16,PCIe 3.0 x16,0,0
bmw27,21.6385,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,25.6794,GeForce RTX 2070 SUPER,OPTIX,131.13,2019,1605.0,1770.0,283.2,113.3,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,40,320
bmw27,21.8108,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,30.7716,GeForce RTX 2070,OPTIX,131.13,2018,1410.0,1620.0,233.3,103.7,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,36,288
bmw27,17.8848,GeForce RTX 3060 Ti,OPTIX,131.13,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
bmw27,34.6566,AMD Radeon RX 6900 XT,OPENCL,2149.18,2020,1825.0,2250.0,720.0,288.0,RDNA 2.0,GDDR6,Navi II(RX 6000),PCIe 4.0 x16,80,0
pavillon_barcelona,89.7077,GeForce RTX 3060 Ti,OPTIX,150.08,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
pavillon_barcelona,201.676,GeForce RTX 3060 Ti,CUDA,156.3,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
bmw27,18.4678,GeForce RTX 3060 Ti,OPTIX,131.13,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
bmw27,54.3569,Quadro RTX 4000,CUDA,146,2018,1005.0,1545.0,222.5,98.88,Turing,GDDR6,Quadro Turing(Tx000),PCIe 3.0 x16,36,288
bmw27,55.2028,Quadro RTX 4000,CUDA,146,2018,1005.0,1545.0,222.5,98.88,Turing,GDDR6,Quadro Turing(Tx000),PCIe 3.0 x16,36,288
bmw27,17.4942,GeForce RTX 3060 Ti,OPTIX,131.13,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
bmw27,8.74643,GeForce RTX 3090,OPTIX,131.13,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,538.78,GeForce GT 1030,CUDA,146,2017,1228.0,1468.0,35.23,23.49,Pascal,GDDR5,GeForce 10,PCIe 3.0 x4,0,0
bmw27,312.471,Quadro K4200,CUDA,146,2014,771.0,784.0,87.81,21.95,Kepler,GDDR5,Quadro Kepler(Kx200),PCIe 2.0 x16,0,0
bmw27,158.812,GeForce GTX 1650,CUDA,146,2019,1485.0,1665.0,93.24,53.28,Turing,GDDR5,GeForce 16,PCIe 3.0 x16,0,0
bmw27,195.133,Quadro P2000,CUDA,145.99,2017,1076.0,1480.0,94.72,59.2,Pascal,GDDR5,Quadro Pascal(Px000),PCIe 3.0 x16,0,0
victor,157.798,GeForce RTX 3080,CUDA,7237.75,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,22.4801,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,9.30999,GeForce RTX 3090,OPTIX,131.13,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,93.7704,GeForce GTX 1660 Ti,CUDA,146,2019,1500.0,1770.0,169.9,84.96,Turing,GDDR6,GeForce 16,PCIe 3.0 x16,0,0
bmw27,54.5735,Quadro RTX 5000,CUDA,146,2018,1620.0,1815.0,348.5,116.2,Turing,GDDR6,Quadro Turing(Tx000),PCIe 3.0 x16,48,384
bmw27,65.5449,GeForce RTX 2060,CUDA,146,2019,1365.0,1680.0,201.6,80.64,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,30,240
bmw27,25.6267,GeForce RTX 2080,OPTIX,131.13,2018,1515.0,1710.0,314.6,109.4,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,46,368
bmw27,54.4414,GeForce RTX 2080,CUDA,146,2018,1515.0,1710.0,314.6,109.4,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,46,368
bmw27,19.1708,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
victor,60.6219,GeForce RTX 3090,OPTIX,4901.11,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,15.5495,GeForce RTX 3070,OPTIX,131.13,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,92.4829,GeForce GTX 1660 SUPER,CUDA,146,2019,1530.0,1785.0,157.1,85.68,Turing,GDDR6,GeForce 16,PCIe 3.0 x16,0,0
bmw27,230.509,Quadro P2000,OPTIX,131.13,2017,1076.0,1480.0,94.72,59.2,Pascal,GDDR5,Quadro Pascal(Px000),PCIe 3.0 x16,0,0
bmw27,435.202,AMD Radeon RX Vega 11 Graphics,OPENCL,2137.69,2019,300.0,1400.0,61.6,11.2,GCN 5.0,System Shared,Vega IGP(Picasso),IGP,0,0
bmw27,67.1043,AMD Radeon RX 5700 XT,OPENCL,2149.18,2019,1605.0,1905.0,304.8,121.9,RDNA 1.0,GDDR6,Navi(RX 5000),PCIe 4.0 x16,0,0
fishy_cat,208.77,Radeon RX Vega 56,OPENCL,2601.68,2017,1156.0,1471.0,329.5,94.14,GCN 5.0,HBM2,Vega(RX Vega),PCIe 3.0 x16,0,0
bmw27,705.029,GeForce 940MX,CUDA,146,2016,954.0,993.0,23.83,7.944,Maxwell,GDDR5,GeForce 900M,PCIe 3.0 x8,0,0
bmw27,34.2748,AMD Radeon RX 6800 XT,OPENCL,2149.18,2020,1825.0,2250.0,648.0,288.0,RDNA 2.0,GDDR6,Navi II(RX 6000),PCIe 4.0 x16,72,0
bmw27,36.3954,GeForce RTX 2060,OPTIX,131.13,2019,1365.0,1680.0,201.6,80.64,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,30,240
classroom,384.802,GeForce GTX 1070 with Max-Q Design,CUDA,352.55,2017,1215.0,1379.0,176.5,88.26,Pascal,GDDR5,GeForce 10 Mobile,PCIe 3.0 x16,0,0
bmw27,25.1878,GeForce RTX 3070 Laptop GPU,OPTIX,131.13,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,99.8841,GeForce GTX 1070,CUDA,145.99,2016,1506.0,1683.0,202.0,107.7,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,9.13224,GeForce RTX 3090,OPTIX,131.13,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,9.92225,GeForce RTX 3090,OPTIX,131.13,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,36.3904,AMD Radeon RX 6800 XT,OPENCL,2149.18,2020,1825.0,2250.0,648.0,288.0,RDNA 2.0,GDDR6,Navi II(RX 6000),PCIe 4.0 x16,72,0
bmw27,20.9613,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,18.415,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,96.7868,GeForce GTX 1660 SUPER,CUDA,146,2019,1530.0,1785.0,157.1,85.68,Turing,GDDR6,GeForce 16,PCIe 3.0 x16,0,0
fishy_cat,114.405,GeForce RTX 2060 SUPER,CUDA,684.01,2019,1470.0,1650.0,224.4,105.6,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,34,272
fishy_cat,55.9084,GeForce RTX 2060 SUPER,OPTIX,556.68,2019,1470.0,1650.0,224.4,105.6,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,34,272
classroom,441.614,GeForce GTX 1650 SUPER,CUDA,352.55,2019,1530.0,1725.0,138.0,55.2,Turing,GDDR6,GeForce 16,PCIe 3.0 x16,0,0
classroom,85.6195,GeForce RTX 3070,CUDA,352.55,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,18.0827,GeForce RTX 3070 Laptop GPU,OPTIX,131.13,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
classroom,55.8695,GeForce RTX 3070,OPTIX,345.3,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,42.7278,GeForce RTX 2080 Ti,CUDA,146,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
bmw27,28.3068,GeForce RTX 3070,CUDA,146,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,78.8436,GeForce GTX 1660 SUPER,OPTIX,131.13,2019,1530.0,1785.0,157.1,85.68,Turing,GDDR6,GeForce 16,PCIe 3.0 x16,0,0
bmw27,17.26,GeForce RTX 3070,OPTIX,131.13,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,81.357,Radeon RX Vega 64,OPENCL,2149.18,2017,1247.0,1546.0,395.8,98.94,GCN 5.0,HBM2,Vega(RX Vega),PCIe 3.0 x16,0,0
bmw27,101.179,GeForce GTX 1070,CUDA,146,2016,1506.0,1683.0,202.0,107.7,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,18.1264,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,79.9992,GeForce GTX 1660 SUPER,OPTIX,131.13,2019,1530.0,1785.0,157.1,85.68,Turing,GDDR6,GeForce 16,PCIe 3.0 x16,0,0
bmw27,104.752,GeForce GTX 1070,OPTIX,131.13,2016,1506.0,1683.0,202.0,107.7,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,18.7357,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
classroom,52.9279,GeForce RTX 3070,OPTIX,345.3,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,15.3892,GeForce RTX 3080 Laptop GPU,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
victor,61.6478,GeForce RTX 3080,OPTIX,4901.11,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,93.2347,GeForce GTX 1080,CUDA,146,2016,1607.0,1733.0,277.3,110.9,Pascal,GDDR5X,GeForce 10,PCIe 3.0 x16,0,0
bmw27,10.8487,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,41.4496,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,14.9976,GeForce RTX 3080 Laptop GPU,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,41.4548,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,267.03,GeForce GTX 1050 Ti,CUDA,146,2016,1291.0,1392.0,66.82,44.54,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,26.5996,GeForce RTX 3070,CUDA,146,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
classroom,41.478,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,40.9494,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,41.0622,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,40.8801,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,40.9946,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,42.0763,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,10.8853,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,10.8466,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,10.8519,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,222.054,AMD Radeon Pro 5600M,OPENCL,2277.14,2020,822.0,1144.0,183.0,73.22,RDNA 1.0,HBM2,Radeon Pro Mac(Navi Mobile),PCIe 4.0 x16,0,0
bmw27,10.8581,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,10.8657,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,10.8482,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,10.8572,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,10.8561,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,10.8571,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
fishy_cat,19.488,GeForce RTX 3080,OPTIX,556.68,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
fishy_cat,19.5015,GeForce RTX 3080,OPTIX,556.68,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,41.5214,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,40.952,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,41.6765,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,41.2215,GeForce RTX 3080,OPTIX,345.3,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
fishy_cat,19.5188,GeForce RTX 3080,OPTIX,556.68,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
fishy_cat,19.5061,GeForce RTX 3080,OPTIX,556.68,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,181.521,Radeon RX 580 Series,OPENCL,1711.1,2017,1257.0,1340.0,193.0,42.88,GCN 4.0,GDDR5,Polaris(RX 500),PCIe 3.0 x16,0,0
bmw27,91.2176,GeForce GTX 1080,CUDA,146,2016,1607.0,1733.0,277.3,110.9,Pascal,GDDR5X,GeForce 10,PCIe 3.0 x16,0,0
bmw27,66.8607,GeForce GTX 1080 Ti,CUDA,146,2017,1481.0,1582.0,354.4,139.2,Pascal,GDDR5X,GeForce 10,PCIe 3.0 x16,0,0
fishy_cat,358.042,GeForce GTX 970,CUDA,684.01,2014,1050.0,1178.0,122.5,65.97,Maxwell 2.0,GDDR5,GeForce 900,PCIe 3.0 x16,0,0
bmw27,171.745,GeForce GTX 970,CUDA,146,2014,1050.0,1178.0,122.5,65.97,Maxwell 2.0,GDDR5,GeForce 900,PCIe 3.0 x16,0,0
bmw27,66.4917,AMD Radeon RX 5700 XT,OPENCL,2149.18,2019,1605.0,1905.0,304.8,121.9,RDNA 1.0,GDDR6,Navi(RX 5000),PCIe 4.0 x16,0,0
bmw27,104.85,GeForce GTX 1070,CUDA,146,2016,1506.0,1683.0,202.0,107.7,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,66.2966,GeForce GTX 1080 Ti,CUDA,146,2017,1481.0,1582.0,354.4,139.2,Pascal,GDDR5X,GeForce 10,PCIe 3.0 x16,0,0
bmw27,21.5304,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,35.4227,GeForce RTX 2080 Ti,CUDA,146,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
bmw27,11.0178,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,65.9232,GeForce RTX 2060,CUDA,146,2019,1365.0,1680.0,201.6,80.64,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,30,240
bmw27,21.4378,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,11.0966,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,20.8885,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,10.7371,GeForce RTX 3080,OPTIX,131.13,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
victor,63.0901,GeForce RTX 3080,OPTIX,4901.11,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
victor,63.515,GeForce RTX 3080,OPTIX,4901.11,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,90.615,GeForce GTX 1080,CUDA,146,2016,1607.0,1733.0,277.3,110.9,Pascal,GDDR5X,GeForce 10,PCIe 3.0 x16,0,0
bmw27,406.316,GeForce GTX 750 Ti,CUDA,146,2014,1020.0,1085.0,43.4,17.36,Maxwell,GDDR5,GeForce 700,PCIe 3.0 x16,0,0
bmw27,108.071,GeForce GTX 1660 Ti with Max-Q Design,CUDA,146,2019,1140.0,1335.0,128.2,64.08,Turing,GDDR6,GeForce 16 Mobile,PCIe 3.0 x16,0,0
bmw27,111.577,GeForce GTX 1660,CUDA,146,2019,1530.0,1785.0,157.1,85.68,Turing,GDDR5,GeForce 16,PCIe 3.0 x16,0,0
