renderedObject,object_rows,feature_set,model,num_features,features,MAE,RMSE,R2
fishy_cat,2096,numerical_only,Hist Gradient Boosting Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",60.11966519379712,415.7346172102036,0.579966556809471
fishy_cat,2096,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",61.45760131066937,423.6855761851925,0.5569479612387797
fishy_cat,2096,mixed_no_gpu_name,Ridge Regression Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",63.32415289528554,427.66086612337403,0.5438382535327988
fishy_cat,2096,numerical_only,Ridge Regression Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",94.18495535238237,491.62127080778515,0.29752950966465513
fishy_cat,2096,numerical_only,Dummy Median Baseline,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",168.2071242153137,549.8875682133277,-0.01992171999663676
fishy_cat,2096,mixed_no_gpu_name,Dummy Median Baseline,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",168.2071242153137,549.8875682133277,-0.01992171999663676
junkshop,123757,numerical_only,Dummy Median Baseline,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",2.4675895489516404,294.65522169416045,-0.025058283912642903
junkshop,123757,mixed_no_gpu_name,Dummy Median Baseline,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",2.4675895489516404,294.65522169416045,-0.025058283912642903
junkshop,123757,mixed_no_gpu_name,Random Forest Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",2.5540347080869075,294.5671073314975,0.020500069630270585
junkshop,123757,mixed_no_gpu_name,Hist Gradient Boosting Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",2.557708084258937,294.56493159691655,0.022039386147457447
junkshop,123757,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",2.559048766002769,294.5734335941747,0.016722323063044997
junkshop,123757,numerical_only,Hist Gradient Boosting Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",2.5628721956684193,294.5706450291056,0.019194936180586725
junkshop,123757,mixed_no_gpu_name,Ridge Regression Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",2.584794387746616,294.57609168274075,0.016432788577061725
junkshop,123757,numerical_only,Ridge Regression Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",2.629117120709997,294.60356286542776,0.0022688689885163407
koro,1802,mixed_no_gpu_name,Random Forest Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",56.60258444376874,174.31244543313377,0.823260898854075
koro,1802,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",59.92825002025183,173.07787743570307,0.8252663840415022
koro,1802,mixed_no_gpu_name,Hist Gradient Boosting Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",60.25172431048899,202.06156202003186,0.766154954528004
koro,1802,numerical_only,Hist Gradient Boosting Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",63.34445575423822,206.67303392014432,0.7552565131557559
koro,1802,mixed_no_gpu_name,Ridge Regression Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",68.05487124284866,213.9692146744686,0.7365211202127963
koro,1802,numerical_only,Ridge Regression Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",130.38641939238343,340.1998766938447,0.33144969521535356
koro,1802,numerical_only,Dummy Median Baseline,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",205.9506565890183,416.0330342873424,-0.011106833372272806
koro,1802,mixed_no_gpu_name,Dummy Median Baseline,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",205.9506565890183,416.0330342873424,-0.011106833372272806
monster,123808,numerical_only,Dummy Median Baseline,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",1.1773693211652037,32.88012255959173,-0.022850307300393835
monster,123808,mixed_no_gpu_name,Dummy Median Baseline,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",1.1773693211652037,32.88012255959173,-0.022850307300393835
monster,123808,mixed_no_gpu_name,Random Forest Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",1.278801372495166,32.81010625855954,0.006208237230077722
monster,123808,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",1.2816206181898697,32.809880352457775,0.0063246660341355065
monster,123808,mixed_no_gpu_name,Hist Gradient Boosting Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",1.28308619048475,32.809620664825445,0.006376559305711238
monster,123808,numerical_only,Hist Gradient Boosting Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",1.284916387338308,32.8097257416271,0.006317476611343779
monster,123808,mixed_no_gpu_name,Ridge Regression Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",1.3260803189692203,32.815561403828895,0.003906656219974251
monster,123808,numerical_only,Ridge Regression Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",1.3469387713750116,32.82141404282897,0.0015308827994926129
pavillon_barcelona,2083,mixed_no_gpu_name,Random Forest Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",86.21752991165381,224.50706032015805,0.8026448101003636
pavillon_barcelona,2083,mixed_no_gpu_name,Hist Gradient Boosting Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",92.17944105924123,248.91161567668837,0.7584554680166923
pavillon_barcelona,2083,mixed_no_gpu_name,Ridge Regression Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",95.25817771537463,256.6649898508253,0.7433241212294549
pavillon_barcelona,2083,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",99.55819171616555,233.28320629015502,0.7872127965686501
pavillon_barcelona,2083,numerical_only,Hist Gradient Boosting Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",105.18961790237461,253.55159842206672,0.7493058712297422
pavillon_barcelona,2083,numerical_only,Ridge Regression Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",148.1976591634674,354.3314142623292,0.5108457033511621
pavillon_barcelona,2083,numerical_only,Dummy Median Baseline,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",307.87219783329533,510.61203008268603,-0.029134370112232855
pavillon_barcelona,2083,mixed_no_gpu_name,Dummy Median Baseline,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",307.87219783329533,510.61203008268603,-0.029134370112232855
victor,547,mixed_no_gpu_name,Random Forest Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",96.12348209206812,546.3700846625729,0.5368299943506956
victor,547,mixed_no_gpu_name,Hist Gradient Boosting Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",107.58255826753812,578.0516887081669,0.44237004954052866
victor,547,mixed_no_gpu_name,Ridge Regression Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",116.13168570462176,592.279847152975,0.4141006937770073
victor,547,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",135.9927146042355,561.4886580640393,0.5084761490638958
victor,547,numerical_only,Hist Gradient Boosting Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",146.7935963145482,635.3988125331518,0.33566526334548774
victor,547,numerical_only,Ridge Regression Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",174.44105193690177,628.345613899533,0.3847327525600932
victor,547,numerical_only,Dummy Median Baseline,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",280.76954480881324,802.1358607604446,-0.11585079360867094
victor,547,mixed_no_gpu_name,Dummy Median Baseline,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",280.76954480881324,802.1358607604446,-0.11585079360867094
